epoch,loss,accuracy,val_loss,val_accuracy
1,1.1825,0.6382,30.8196,0.1326
2,0.3668,0.8803,19.504,0.1979
3,0.2723,0.9119,5.3844,0.5137
4,0.2114,0.9303,5.6211,0.5561
5,0.1824,0.9393,1.4111,0.7753
6,0.1541,0.9488,2.1808,0.7256
7,0.1383,0.9549,3.6653,0.6391
8,0.1269,0.958,0.4096,0.9071
9,0.1182,0.9607,4.3408,0.5637
10,0.1092,0.9637,1.2585,0.81
11,0.1015,0.9663,0.7964,0.8533
12,0.101,0.967,0.8375,0.8447
13,0.0921,0.969,1.2329,0.8115
14,0.0913,0.9693,0.6555,0.8813
15,0.0856,0.9711,0.7745,0.863
16,0.0844,0.972,0.7902,0.8425
17,0.0832,0.972,1.5521,0.7751
18,0.0798,0.9731,0.4002,0.9137
19,0.0773,0.9739,0.3792,0.9145
20,0.0742,0.9752,0.3642,0.9136
21,0.0722,0.9759,0.8892,0.8343
22,0.0698,0.9766,1.1471,0.8058
23,0.0674,0.9771,0.4722,0.9034
24,0.0688,0.9777,0.204,0.9482
25,0.067,0.9774,0.605,0.8677
26,0.0621,0.9788,0.4158,0.9087
27,0.0607,0.9796,0.6324,0.872
28,0.0631,0.9795,0.4495,0.903
29,0.0597,0.9803,0.449,0.9076
30,0.0598,0.9798,0.3766,0.917
31,0.0583,0.9805,1.0222,0.8257
32,0.0572,0.9809,1.1892,0.7933
33,0.0555,0.9818,0.8158,0.8525
34,0.0569,0.9806,0.4187,0.9092
35,0.0546,0.9814,0.299,0.9299
36,0.054,0.9818,0.4709,0.9027
37,0.0518,0.9829,0.6686,0.8778
38,0.0526,0.9822,0.5397,0.8851
39,0.0531,0.9831,0.2485,0.9409
40,0.0501,0.9827,0.3837,0.9147
41,0.0499,0.9834,0.5072,0.9177
42,0.0503,0.9833,0.4934,0.9024
43,0.0495,0.9837,0.3266,0.9301
44,0.0518,0.9834,0.1961,0.9525
45,0.0466,0.9848,0.429,0.9133
46,0.0481,0.9842,0.5768,0.8986
47,0.0471,0.9848,0.167,0.9535
48,0.0472,0.9843,0.2036,0.9487
49,0.0459,0.9844,0.4399,0.9161
50,0.0454,0.9846,0.357,0.9251
51,0.0488,0.9836,0.2542,0.941
52,0.0453,0.9845,0.3346,0.9258
53,0.0444,0.9855,0.1537,0.9621
54,0.0471,0.9843,0.6172,0.9014
55,0.0443,0.9852,0.2439,0.943
56,0.0455,0.985,0.359,0.9215
57,0.0431,0.9852,0.1415,0.9661
58,0.0431,0.9855,0.2292,0.9497
59,0.0457,0.9847,0.1901,0.9531
60,0.0453,0.9851,0.2977,0.9319
61,0.0432,0.9853,0.7282,0.8788
62,0.0427,0.9857,0.3025,0.9341
63,0.0419,0.9859,0.1968,0.9494
64,0.0436,0.9854,0.1443,0.9617
65,0.0409,0.986,0.2823,0.9411
66,0.0429,0.9862,0.205,0.9474
67,0.0415,0.9863,0.1688,0.9564
68,0.0408,0.9863,0.8143,0.8687
69,0.0413,0.9866,1.1797,0.8491
70,0.0428,0.9859,0.7552,0.8691
71,0.0418,0.986,0.2977,0.9366
72,0.042,0.986,0.673,0.8786
73,0.0405,0.9866,0.4492,0.9196
74,0.0397,0.9865,0.2207,0.9478
75,0.0386,0.9871,0.3042,0.9276
76,0.0388,0.987,0.1597,0.9631
77,0.0382,0.9876,0.3427,0.9294
78,0.0374,0.9877,0.239,0.9434
79,0.0396,0.9869,0.2387,0.9445
80,0.0394,0.987,0.1462,0.9645
81,0.0387,0.9876,0.6533,0.8806
82,0.036,0.988,0.4255,0.916
83,0.0391,0.9872,0.1402,0.9627
84,0.0396,0.9871,0.4537,0.9101
85,0.0395,0.9871,0.2457,0.9479
86,0.0367,0.9877,0.1799,0.9549
87,0.0371,0.9877,0.586,0.8922
88,0.0389,0.9871,0.2829,0.9418
89,0.0355,0.9875,0.2173,0.9501
90,0.0387,0.9878,0.4609,0.9145
91,0.0368,0.988,0.2906,0.943
92,0.0355,0.9879,0.3182,0.9285
93,0.0384,0.9875,0.1911,0.9523
94,0.0352,0.9881,0.2012,0.9537
95,0.0372,0.9879,0.331,0.9344
96,0.0371,0.9877,0.1154,0.9698
97,0.0345,0.9883,0.2132,0.9557
98,0.0377,0.9878,0.5906,0.8895
99,0.035,0.9883,1.024,0.8437
100,0.036,0.9882,0.1888,0.9548
